name,WMO_ID,WSI,DS_CODE,DS_DESC,Aparatuur,sensor,X,Y,LAT,LON,DS_ALT,REH1.TG,AHN2_date,AHN3_date,first_SC_year,best_overlapping_SC,best_overlapping_year,Manual_SC_AHN2,Manual_SC_AHN3,selection
Arcen,6391,0-20000-0-06391,391_H,AWS,site,site,211170.574329067,390111.376103576,51.4972220035686,6.19611100250612,19.5,16.4,2012,2019,,,,,,
Arcen,6391,0-20000-0-06391,391_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,211037.824873111,390535.875323788,51.5010505984353,6.19426717238529,19.5,16.4,2012,2019,2015,4,2014,NA,NA,yes
Berkhout,6249,0-20000-0-06249,249_H,AWS,site,site,127363.134898112,517331.71869734,52.6427780042975,4.97888900132877,,,2011,2016,,,,,,
Berkhout,6249,0-20000-0-06249,249_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,127359.366133663,517316.285721481,52.6426391195176,4.9788346087437,-2.4,15.8,2011,2016,,,,,,
Cabauw mast,6348,0-20000-0-06348,348_H,AWS,site,site,123295.168742218,442405.899661171,51.9691670038962,4.92583300124437,,,2008,2014,,,,,,
Cabauw mast,6348,0-20000-0-06348,348_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,123388.021972678,442497.948079431,51.9699996213756,4.927175684052,-0.7,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,260_H,AWS,bodemtemperatuur,ground_temp,140782.455313183,456751.655375241,52.0988300039751,5.17971000150507,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,261_H,AWS,neerslag,precipitation,140766.058150265,456768.391226176,52.0989800039752,5.17947000150484,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,262_H,AWS,bewolking,cloudiness,140782.455313183,456751.655375241,52.0988300039751,5.17971000150507,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,263_H,AWS,drogeboltemperatuur 0.1 m,temp_10cm,140757.781612767,456749.500717313,52.0988100039751,5.17935000150471,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,264_H,AWS,windrichting / windsnelheid,wind_speed_dir,140781.766931274,456750.544742551,52.0988200039751,5.17970000150506,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,265_H,AWS,vochtigheid,humidity,140782.455313183,456751.655375241,52.0988300039751,5.17971000150507,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,266_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,140760.094893981,456754.820242771,52.0988578751647,5.17938353959755,1.9,15.6,2008,2014,2014,4-5,2015,NA,4-5,yes
De Bilt,6260,0-20000-0-06260,267_H,AWS,zicht,sight,140782.455313183,456751.655375241,52.0988300039751,5.17971000150507,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,268_H,AWS,luchtdruk,pressure,140781.766931274,456750.544742551,52.0988200039751,5.17970000150506,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,269_H,AWS,straling,radiation,140685.869953588,457000.041857432,52.1010600039765,5.17829000150374,1.9,15.6,2008,2014,,,,,,
De Bilt,6260,0-20000-0-06260,270_H,AWS,site,site,140781.084905772,456751.659289922,52.0988300039751,5.17969000150506,1.9,15.6,2008,2014,,,,,,
De Kooy,6235,0-20000-0-06235,235_H,AWS,site,site,114241.929037657,549045.553975993,52.9269440044544,4.7811110011468,1.2,15.4,2011,2016,,,,,,
De Kooy,6235,0-20000-0-06235,235_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,114114.985911709,548738.171414603,52.9241722933385,4.77926187650507,,,2011,2016,,,,,,
Deelen,6275,0-20000-0-06275,275_H,AWS,site,site,188266.381726851,451935.147457955,52.0547220039359,5.87222200219767,48.2,15.3,2010,2018,,,,,,
Deelen,6275,0-20000-0-06275,275_H,AWS,drogeboltemperatuur 1.5 m,temp_150cm,189281.503356942,452585.855122887,52.0605085289181,5.88708713371667,,,2010,2018,,,,,,
Eelde,6280,0-20000-0-06280,280_H,AWS,site,site,235163.930419972,571426.352256572,53.1236110045174,6.584722002927,5.2,15.5,2009,2019,,,,,,
