AWS,DS_CODE,DS_DESC,X,Y,LAT,LON
De Bilt,270_H,AWS,140781.00,456751.00,52.09883,5.17969
platform  D15-FA-1,201_H,AWS platform,,,54.325556,2.935833
platform  P11-B,203_H,AWS platform,,,52.36,3.341667
platform K14-FA-1C,204_H,AWS platform,,,53.269444,3.627778
platform A12-CPP,205_H,AWS platform,,,55.399167,3.810278
platform F16-A,206_H,AWS platform,,,54.116667,4.012222
platform L9-FF-1,207_H,AWS platform,,,53.614444,4.960278
platform AWG-1,208_H,AWS platform,,,53.491667,5.941667
platform J6-A,211_H,AWS platform,,,53.824167,2.945278
platform Hoorn-Alfa,212_H,AWS platform,,,52.918056,4.150278
Voorschoten,215_H,AWS,,,52.139722,4.436389
De Kooy,235_H,AWS,,,52.926944,4.781111
F3-FB-1 platform,239_H,Boorplatform,,,54.853889,4.696111
Schiphol,240_H,AWS,,,52.317222,4.789722
Vlieland,242_H,AWS,,,53.24,4.920833
Berkhout,249_H,AWS,,,52.642778,4.978889
Hoorn Terschelling,251_H,AWS,,,53.391111,5.345833
K13 platform,252_H,Gaswinning,,,53.217778,3.220278
Wijk aan zee,257_H,AWS,,,52.505278,4.603056
Stavoren,267_H,AWS,,,52.896667,5.383333
Lelystad,269_H,AWS,,,52.457222,5.519722
Leeuwarden,270_H,AWS,,,53.223056,5.751667
Marknesse,273_H,AWS,,,52.701944,5.8875
Deelen,275_H,AWS,,,52.054722,5.872222
Lauwersoog,277_H,AWS,,,53.411667,6.199167
Heino,278_H,AWS,,,52.434444,6.258889
Hoogeveen,279_H,AWS,,,52.748889,6.573056
Eelde,280_H,AWS,,,53.123611,6.584722
Hupsel,283_H,AWS,,,52.067778,6.656667
Nieuw Beerta,286_H,AWS,,,53.194444,7.149167
Twenthe,290_H,AWS,,,52.273056,6.890833
Vlissingen,310_H,AWS,,,51.441389,3.595833
Westdorpe,319_H,AWS,,,51.224722,3.861111
Lichteiland Goeree,320_H,AWS lichteiland,,,51.925833,3.67
Europlatform,321_H,Gaswinning,,,51.997778,3.275
Wilhelminadorp,323_H,AWS,,,51.533333,3.9
Hoek van Holland,330_H,AWS,,,51.991111,4.121667
Rotterdam,344_H,AWS,,,51.960556,4.446944
Cabauw mast,348_H,AWS,,,51.969167,4.925833
Gilze-Rijen,350_H,AWS,,,51.565,4.935278
Herwijnen,356_H,AWS,,,51.857778,5.145278
Eindhoven,370_H,AWS,,,51.449722,5.376944
Volkel,375_H,AWS,,,51.658611,5.706667
Ell,377_H,AWS,,,51.196667,5.7625
Maastricht,380_H,AWS,,,50.905278,5.761944
Arcen,391_H,AWS,,,51.497222,6.196111
